"product_category_name","gmv","cnt_order","avg_review","fraction_gmv"
"",403155.00,1124,3.80,1.26
agro_industria_e_comercio,204401.00,141,4.16,0.64
alimentos,65225.00,337,4.27,0.20
alimentos_bebidas,43509.20,175,4.29,0.14
artes,50263.20,152,3.98,0.16
artes_e_artesanato,3141.36,16,4.31,0.01
artigos_de_festas,10015.70,33,3.92,0.03
artigos_de_natal,22476.00,101,4.06,0.07
audio,90170.00,270,3.85,0.28
automotivo,1282340.00,3063,4.04,4.02
bebes,867834.00,2263,3.99,2.72
bebidas,66104.30,224,3.93,0.21
beleza_saude,2602820.00,6922,4.13,8.16
brinquedos,966216.00,3031,4.16,3.03
cama_mesa_banho,2671580.00,7350,3.88,8.37
casa_conforto,130418.00,306,3.92,0.41
casa_conforto_2,2394.00,21,3.54,0.01
casa_construcao,215442.00,386,3.94,0.68
cds_dvds_musicais,1161.34,8,4.75,0.00
cine_foto,15837.50,55,4.20,0.05
climatizacao,152689.00,201,4.03,0.48
consoles_games,306574.00,841,4.04,0.96
construcao_ferramentas_construcao,374226.00,593,4.07,1.17
construcao_ferramentas_ferramentas,27674.90,72,4.29,0.09
construcao_ferramentas_iluminacao,109155.00,183,4.11,0.34
construcao_ferramentas_jardim,72818.40,162,4.23,0.23
construcao_ferramentas_seguranca,117669.00,138,3.85,0.37
cool_stuff,1212520.00,2838,4.13,3.80
dvds_blu_ray,14845.00,51,4.11,0.05
eletrodomesticos,164093.00,600,4.21,0.51
eletrodomesticos_2,201267.00,190,4.15,0.63
eletronicos,403538.00,1995,4.03,1.27
eletroportateis,365734.00,502,4.18,1.15
esporte_lazer,2183550.00,5957,4.11,6.84
fashion_bolsas_e_acessorios,336346.00,1461,4.11,1.05
fashion_calcados,49992.60,181,4.22,0.16
fashion_esporte,5981.82,20,4.09,0.02
fashion_roupa_feminina,8308.80,34,3.68,0.03
fashion_roupa_infanto_juvenil,1357.22,7,4.43,0.00
fashion_roupa_masculina,22061.30,83,3.64,0.07
fashion_underwear_e_moda_praia,18861.90,88,3.98,0.06
ferramentas_jardim,1277020.00,2735,4.00,4.00
flores,3135.50,22,4.25,0.01
fraldas_higiene,4694.74,19,2.96,0.01
industria_comercio_e_negocios,92429.20,189,4.01,0.29
informatica_acessorios,2547700.00,5232,3.95,7.99
instrumentos_musicais,380359.00,510,4.11,1.19
la_cuisine,4933.68,11,4.00,0.02
livros_importados,12030.20,46,4.43,0.04
livros_interesse_geral,104711.00,404,4.46,0.33
livros_tecnicos,38434.40,198,4.38,0.12
malas_acessorios,298046.00,813,4.34,0.93
market_place,73591.80,225,3.99,0.23
moveis_colchao_e_estofado,10424.20,32,3.86,0.03
moveis_cozinha_area_de_servico_jantar_e_jardim,120428.00,197,3.95,0.38
moveis_decoracao,2218490.00,4968,3.90,6.95
moveis_escritorio,1077390.00,1005,3.51,3.38
moveis_quarto,50874.00,75,4.32,0.16
moveis_sala,213827.00,322,3.93,0.67
musica,12529.00,32,4.15,0.04
papelaria,494313.00,1798,4.21,1.55
pc_gamer,4348.86,8,3.10,0.01
pcs,415066.00,143,4.24,1.30
perfumaria,807898.00,2484,4.12,2.53
pet_shop,477402.00,1332,4.24,1.50
portateis_casa_forno_e_cafe,80327.00,59,4.35,0.25
portateis_cozinha_e_preparadores_de_alimentos,7350.84,12,3.50,0.02
relogios_presentes,2233230.00,4443,4.00,7.00
seguros_e_servicos,649.02,2,2.50,0.00
sinalizacao_e_seguranca,90398.20,110,4.04,0.28
tablets_impressao_imagem,11473.60,54,4.03,0.04
telefonia,756566.00,3260,3.96,2.37
telefonia_fixa,383639.00,164,3.60,1.20
utilidades_domesticas,1732610.00,4572,4.06,5.43
